modelName, x, y
grey_tote,18.0,8.0
table,25.0,26.0
cordless_drill,8.0,24.0
create,6.0,5.0
first_2015_trash_can,10.0,16.0
construction_cone,26.0,5.0
drc_practice_blue_cylinder,18.0,2.0
youbot,14.0,14.0
quadrotor,12.0,4.0
