modelName, x, y
create,8.0,24.0
youbot,7.0,5.0
grey_tote,10.0,16.0
quadrotor,18.0,3.0
coke_can,26.0,4.0
husky,6.0,16.0
construction_cone,12.0,4.0
cordless_drill,23.0,10.0
first_2015_trash_can,15.0,13.0
